rank_nominal,name,net_worth_usd,country,source,fx_rate,ppp_factor,ppp_multiplier,net_worth_ppp,ppp_uplift_pct,rank_ppp,rank_change,net_worth_usd_billion,net_worth_ppp_intl$,net_worth_PPP_intl$,pct_change_vs_nominal,percent_difference_vs_nominal_USD,primary_country,exchange_rate_local_per_USD,ppp_conversion_factor,rank
1,Elon Musk,908.2,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,908.2,0.0,1,0,908.2,908.2,908.2,0.0,0.0,United States,1.0,1.0,1
2,Larry Page,277.9,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,277.9,0.0,4,-2,277.9,277.9,277.9,0.0,0.0,United States,1.0,1.0,2
3,Jeff Bezos,266.5,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,266.5,0.0,5,-2,266.5,266.5,266.5,0.0,0.0,United States,1.0,1.0,3
4,Michael Dell,263.1,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,263.1,0.0,6,-2,263.1,263.1,263.1,0.0,0.0,United States,1.0,1.0,4
5,Sergey Brin,255.7,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,255.7,0.0,7,-2,255.7,255.7,255.7,0.0,0.0,United States,1.0,1.0,5
6,Mark Zuckerberg,212.0,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,212.0,0.0,9,-3,212.0,212.0,212.0,0.0,0.0,United States,1.0,1.0,6
7,Larry Ellison,202.4,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,202.4,0.0,10,-3,202.4,202.4,202.4,0.0,0.0,United States,1.0,1.0,7
8,Jensen Huang,199.4,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,199.4,0.0,11,-3,199.4,199.4,199.4,0.0,0.0,United States,1.0,1.0,8
9,Amancio Ortega,147.0,Spain,Forbes RT 2026-09-07,0.92,0.57,1.614,237.26,61.4,8,1,147.0,237.26,237.26,61.4,61.4,Spain,0.92,0.57,9
10,Warren Buffett,143.8,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,143.8,0.0,17,-7,143.8,143.8,143.8,0.0,0.0,United States,1.0,1.0,10
11,Bernard Arnault & family,139.0,France,Forbes RT 2026-09-07,0.92,0.7,1.3143,182.69,31.43,13,-2,139.0,182.69,182.69,31.43,31.43,France,0.92,0.7,11
12,Steve Ballmer,135.0,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,135.0,0.0,18,-6,135.0,135.0,135.0,0.0,0.0,United States,1.0,1.0,12
13,Michael Bloomberg,125.0,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,125.0,0.0,20,-7,125.0,125.0,125.0,0.0,0.0,United States,1.0,1.0,13
14,Bill Gates,108.0,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,108.0,0.0,22,-8,108.0,108.0,108.0,0.0,0.0,United States,1.0,1.0,14
15,Carlos Slim Helu & family,102.0,Mexico,Forbes RT 2026-09-07,17.0,8.89,1.9123,195.05,91.23,12,3,102.0,195.05,195.05,91.23,91.23,Mexico,17.0,8.89,15
