rank,name,net_worth_usd_billion,primary_country,source,exchange_rate_local_per_USD,ppp_conversion_factor,net_worth_ppp_intl$,ppp_uplift_pct,pct_change_vs_nominal,ppp_rank,rank_change
1,Elon Musk,342.0,United States,Forbes RT 2026-01-22,1.0,1.0,342.0,0.0,0.0,3,-2
2,Mark Zuckerberg,216.0,United States,Forbes RT 2026-01-22,1.0,1.0,216.0,0.0,0.0,5,-3
3,Jeff Bezos,215.0,United States,Forbes RT 2026-01-22,1.0,1.0,215.0,0.0,0.0,6,-3
4,Larry Ellison,192.0,United States,Forbes RT 2026-01-22,1.0,1.0,192.0,0.0,0.0,9,-5
5,Bernard Arnault & family,178.0,France,Forbes RT 2026-01-22,0.92,0.7,233.94285714285718,31.428571428571452,31.428571428571452,4,1
6,Warren Buffett,154.0,United States,Forbes RT 2026-01-22,1.0,1.0,154.0,0.0,0.0,12,-6
7,Larry Page,144.0,United States,Forbes RT 2026-01-22,1.0,1.0,144.0,0.0,0.0,14,-7
8,Sergey Brin,138.0,United States,Forbes RT 2026-01-22,1.0,1.0,138.0,0.0,0.0,15,-7
9,Bill Gates,135.0,United States,Forbes RT 2026-01-22,1.0,1.0,135.0,0.0,0.0,16,-7
10,Amancio Ortega,124.0,Spain,Forbes RT 2026-01-22,0.92,0.57,200.140350877193,61.40350877192983,61.40350877192983,7,3
11,Michael Bloomberg,122.0,United States,Forbes RT 2026-01-22,1.0,1.0,122.0,0.0,0.0,18,-7
12,Steve Ballmer,118.0,United States,Forbes RT 2026-01-22,1.0,1.0,118.0,0.0,0.0,20,-8
13,Mukesh Ambani,110.0,India,Forbes RT 2026-01-22,83.42,20.42,449.37316356513213,308.52105778648377,308.52105778648377,1,12
14,Gautam Adani,105.0,India,Forbes RT 2026-01-22,83.42,20.42,428.94711067580795,308.52105778648377,308.52105778648377,2,12
15,Carlos Slim Helu & family,102.0,Mexico,Forbes RT 2026-01-22,17.0,8.89,195.0506186726659,91.22609673790775,91.22609673790775,8,7
16,Francoise Bettencourt Meyers & family,99.0,France,Forbes RT 2026-01-22,0.92,0.7,130.11428571428573,31.428571428571445,31.428571428571445,17,-1
17,Michael Dell,95.0,United States,Forbes RT 2026-01-22,1.0,1.0,95.0,0.0,0.0,26,-9
18,Jensen Huang,92.0,United States,Forbes RT 2026-01-22,1.0,1.0,92.0,0.0,0.0,27,-9
19,Jim Walton,88.0,United States,Forbes RT 2026-01-22,1.0,1.0,88.0,0.0,0.0,28,-9
20,Rob Walton,87.0,United States,Forbes RT 2026-01-22,1.0,1.0,87.0,0.0,0.0,29,-9
21,Alice Walton,86.0,United States,Forbes RT 2026-01-22,1.0,1.0,86.0,0.0,0.0,30,-9
22,David Thomson & family,78.0,Canada,Forbes RT 2026-01-22,1.36,1.24,85.5483870967742,9.677419354838726,9.677419354838726,31,-9
23,Zhong Shanshan,75.0,China,Forbes RT 2026-01-22,7.2,3.5,154.2857142857143,105.71428571428574,105.71428571428574,11,12
24,Charles Koch,68.0,United States,Forbes RT 2026-01-22,1.0,1.0,68.0,0.0,0.0,35,-11
25,Julia Koch & family,68.0,United States,Forbes RT 2026-01-22,1.0,1.0,68.0,0.0,0.0,35,-10
26,Dieter Schwarz,55.0,Germany,Forbes RT 2026-01-22,0.92,0.73,69.31506849315069,26.027397260273982,26.027397260273982,33,-7
27,Zhang Yiming,50.0,China,Forbes RT 2026-01-22,7.2,3.5,102.85714285714288,105.71428571428577,105.71428571428577,24,3
28,Phil Knight & family,48.0,United States,Forbes RT 2026-01-22,1.0,1.0,48.0,0.0,0.0,44,-16
29,Mark Mateschitz,45.0,Austria,Forbes RT 2026-01-22,0.92,0.76,54.473684210526315,21.052631578947366,21.052631578947366,40,-11
30,Tadashi Yanai & family,44.0,Japan,Forbes RT 2026-01-22,145.0,93.0,68.6021505376344,55.91397849462364,55.91397849462364,34,-4
31,Giovanni Ferrero,43.8,Italy,Forbes RT 2026-01-22,0.92,0.67,60.143283582089545,37.31343283582088,37.31343283582088,39,-8
32,Savitri Jindal & family,39.8,India,Forbes RT 2026-01-22,83.42,20.42,162.59138099902054,308.5210577864838,308.5210577864838,10,22
33,Colin Huang,38.2,China,Forbes RT 2026-01-22,7.2,3.5,78.58285714285716,105.71428571428577,105.71428571428577,32,1
34,Li Ka-shing,37.3,Hong Kong,Forbes RT 2026-01-22,7.8,5.5,52.89818181818182,41.818181818181834,41.818181818181834,43,-9
35,Shiv Nadar,37.2,India,Forbes RT 2026-01-22,83.42,20.42,151.96983349657197,308.5210577864837,308.5210577864837,13,22
36,Klaus-Michael Kuehne,36.8,Germany,Forbes RT 2026-01-22,0.92,0.73,46.37808219178083,26.027397260273993,26.027397260273993,45,-9
37,Low Tuck Kwong,35.0,Indonesia,Forbes RT 2026-01-22,15450.0,4512.0,119.84707446808511,242.42021276595747,242.42021276595747,19,18
38,Tony Bloom,35.0,United Kingdom,Forbes RT 2026-01-22,0.79,0.7,39.50000000000001,12.857142857142879,12.857142857142879,46,-8
39,Masayoshi Son,34.0,Japan,Forbes RT 2026-01-20,145.0,93.0,53.01075268817204,55.91397849462365,55.91397849462365,42,-3
40,William Lei Ding,33.0,China,Forbes RT 2026-01-20,7.2,3.5,67.8857142857143,105.71428571428577,105.71428571428577,37,3
41,He Xiangjian,32.0,China,Forbes RT 2026-01-20,7.2,3.5,65.82857142857144,105.71428571428574,105.71428571428574,38,3
42,Charles de Croes de Liedekerke,31.5,Belgium,Forbes RT 2026-01-20,0.92,0.75,38.64,22.666666666666668,22.666666666666668,47,-5
43,Stephen Schwarzman,31.0,United States,Forbes RT 2026-01-20,1.0,1.0,31.0,0.0,0.0,49,-6
44,R. Budi Hartono,31.0,Indonesia,Forbes RT 2026-01-20,15450.0,4512.0,106.15026595744682,242.42021276595747,242.42021276595747,21,23
45,Michael Hartono,30.0,Indonesia,Forbes RT 2026-01-20,15450.0,4512.0,102.72606382978724,242.42021276595747,242.42021276595747,25,20
46,Len Blavatnik,30.0,United States,Forbes RT 2026-01-20,1.0,1.0,30.0,0.0,0.0,50,-4
