country,date,GDP
United Arab Emirates,2024-01-01,552324846834.581
United Arab Emirates,2023-01-01,522622191967.325
United Arab Emirates,2022-01-01,511403403675.97
United Arab Emirates,2021-01-01,422441388699.796
United Arab Emirates,2020-01-01,357161878829.135
United Arab Emirates,2019-01-01,433926208304.969
United Arab Emirates,2018-01-01,440560108917.631
United Arab Emirates,2017-01-01,403365010211.028
United Arab Emirates,2016-01-01,381717086453.37
United Arab Emirates,2015-01-01,381973042886.317
United Arab Emirates,2014-01-01,424935874744.724
United Arab Emirates,2013-01-01,409632675289.313
United Arab Emirates,2012-01-01,392793464942.138
United Arab Emirates,2011-01-01,368881143635.126
United Arab Emirates,2010-01-01,307736419332.88
Argentina,2024-01-01,638365455340.04
Argentina,2023-01-01,649461687959.174
Argentina,2022-01-01,633993756301.08
Argentina,2021-01-01,486564085480.036
Argentina,2020-01-01,385740508436.965
Argentina,2019-01-01,447754683615.225
Argentina,2018-01-01,524819892360.176
Argentina,2017-01-01,643628393281.364
Argentina,2016-01-01,557532320662.955
Argentina,2015-01-01,594749285413.212
Argentina,2014-01-01,526319673731.638
Argentina,2013-01-01,552025140252.246
Argentina,2012-01-01,545982375701.128
Argentina,2011-01-01,530158122010.442
Argentina,2010-01-01,423627422092.49
Australia,2024-01-01,1757022451652.83
Australia,2023-01-01,1734451264655.6
Australia,2022-01-01,1695627535475.8
Australia,2021-01-01,1560617493202.69
Australia,2020-01-01,1333336461648.09
Australia,2019-01-01,1398349602956.35
Australia,2018-01-01,1433144978761.67
Australia,2017-01-01,1330890554614.09
Australia,2016-01-01,1211588128417.61
Australia,2015-01-01,1356805839935.9
Australia,2014-01-01,1474677007565.64
Australia,2013-01-01,1583737461925.39
Australia,2012-01-01,1552728401401.58
Australia,2011-01-01,1402939868653.4
Australia,2010-01-01,1152566632022.13
Austria,2024-01-01,534790720466.822
Austria,2023-01-01,516670509628.876
Austria,2022-01-01,473221298968.216
Austria,2021-01-01,480466363176.806
Austria,2020-01-01,434397601557.696
Austria,2019-01-01,442983642371.842
Austria,2018-01-01,452582294972.775
Austria,2017-01-01,414926138132.691
Austria,2016-01-01,393687359770.273
